cnt,time,spo2,hr
0,16,96,71
0.2,16,96,69
0.3,34,92,107
0.5,28,98,67
0.7,18,99,72
0.8,30,99,72
1,88,0,67
1.2,90,91,63
1.3,32,96,73
1.5,50,97,63
1.7,19,97,64
1.8,24,97,67
2,60,97,79
2.2,28,99,76
2.3,16,96,64
2.5,16,95,60
2.7,88,98,0
2.8,50,0,0
3,42,99,82
3.2,30,95,67
3.3,20,92,62
3.5,51,99,75
3.7,16,99,63
3.8,80,0,65
4,28,96,69
4.2,90,98,61
4.3,80,96,61
4.5,16,96,66
4.7,22,96,61
4.8,22,95,60
5,72,93,61
5.2,20,94,57
5.3,22,97,58
5.5,48,96,103
5.7,58,93,81
5.8,52,99,57
6,84,93,72
6.2,34,93,63
6.3,0,0,0
6.5,0,0,0
6.7,28,0,0
6.8,27,0,0
7,27,0,0
7.2,28,0,0
7.3,26,0,0
7.5,27,0,0
7.7,26,95,78
7.8,31,0,0
8,49,0,0
8.2,54,93,97
8.3,54,0,0
8.5,8,0,0
8.7,61,0,0
8.8,20,97,83
9,75,97,92
9.2,24,99,86
9.3,54,97,88
9.5,76,99,85
9.7,80,97,91
9.8,14,99,80
10,61,0,0
10.2,82,95,73
10.3,46,98,74
10.5,68,96,81
10.7,50,99,80
10.8,84,97,80
11,42,97,79
11.2,32,93,80
11.3,14,99,72
11.5,44,96,77
11.7,16,98,79
11.8,16,99,76
12,82,99,71
12.2,22,99,75
12.3,89,0,0
12.5,30,0,0
12.7,30,0,0
12.8,44,93,80
13,30,99,84
13.2,19,0,0
13.3,27,0,0
13.5,32,99,78
13.7,44,98,82
13.8,78,99,83
14,60,95,81
14.2,72,93,78
14.3,50,97,79
14.5,59,0,0
14.7,38,96,86
14.8,24,99,81
15,88,96,81
15.2,49,0,0
15.3,82,98,81
15.5,48,92,91
15.7,8,0,0
15.8,27,95,82
16,20,94,69
16.2,34,97,72
16.3,44,96,69
16.5,64,95,75
16.7,81,0,0
16.8,27,0,0
17,91,0,0
17.2,42,97,68
17.3,30,99,70
17.5,82,96,67
17.7,16,98,69
17.8,70,98,72
18,18,0,0
18.2,91,0,0
18.3,22,94,68
18.5,42,94,70
18.7,14,96,74
18.8,24,97,77
19,26,99,77
19.2,26,97,82
19.3,56,97,78
19.5,71,0,0
19.7,17,0,0
19.8,91,0,0
20,84,92,83
20.2,90,0,0
20.3,37,0,0
20.5,91,0,0
20.7,91,0,0
20.8,64,99,97
21,20,98,72
21.2,62,96,72
21.3,18,97,70
21.5,18,0,0
21.7,28,0,0
21.8,82,95,84
22,72,97,74
22.2,28,98,75
22.3,16,96,73
22.5,90,0,0
22.7,16,0,0
22.8,78,90,76
23,50,95,72
23.2,39,0,0
23.3,29,97,115
23.5,42,95,69
23.7,24,94,82
23.8,82,94,71
